快捷键             命令                说明                  
---------------+-----------------+--------------------
Alt+\           词数统计(W)           字数统计
Alt+0           用户模板 0            用户模板 0
Alt+1           用户模板 1            用户模板 1
Alt+2           用户模板 2            用户模板 2
Alt+3           用户模板 3            用户模板 3
Alt+4           用户模板 4            用户模板 4
Alt+5           用户模板 5            用户模板 5
Alt+6           用户模板 6            用户模板 6
Alt+7           用户模板 7            用户模板 7
Alt+8           用户模板 8            用户模板 8
Alt+9           用户模板 9            用户模板 9
Alt+C           列模式(C)            切换列模式编辑
Alt+CLEAR       活动行置于窗口中心         活动行置于窗口中心
Alt+Ctrl+F4     关闭除此之外的所有文件(E)    关闭除活动文件外的所有文件
Alt+F10         上一个面板(R)          跳转到下一个面板
Alt+F11         比较文件(M)           比较两个文件
Alt+F12         全部保存(L)           保存所有已更改文档
Alt+F2          上一个书签(E)          转到文件中的上一个书签
Alt+F3          查找(F)             查找指定的文字
Alt+F5          转为大写字母(O)         改变选定文字为大写
Alt+F8          环境                布局选择器
Alt+PGDN        光标置于窗口底部          光标置于窗口底部
Alt+PGUP        光标置于窗口顶部          光标置于窗口顶部
Alt+Q           快速查找切换焦点          快速查找切换焦点
Alt+RETURN      字符属性              显示光标下的字符属性
Alt+Shift+0     用户模板 10           用户模板 10
Alt+Shift+1     用户模板 11           用户模板 11
Alt+Shift+2     用户模板 12           用户模板 12
Alt+Shift+3     用户模板 13           用户模板 13
Alt+Shift+4     用户模板 14           用户模板 14
Alt+Shift+5     用户模板 15           用户模板 15
Alt+Shift+6     用户模板 16           用户模板 16
Alt+Shift+7     用户模板 17           用户模板 17
Alt+Shift+8     用户模板 18           用户模板 18
Alt+Shift+9     用户模板 19           用户模板 19
Alt+Shift+C     关闭项目/工作区(C)       关闭项目/工作区
Alt+Shift+D     复制行(D)            复制当前行
Alt+Shift+F2    选择到上一个书签          移动到上一个书签并选择
Alt+Shift+O     打开项目/工作区(O)       打开项目
Alt+Shift+R     运行活动脚本            运行活动脚本
Alt+Shift+S     项目设置(S)           项目文件/设置
Alt+Shift+Z     删除最后的插入符号         删除最后的插入符号
Alt+乘           活动行置于窗口中心         活动行置于窗口中心
Alt+减           活动行置于窗口顶部         活动行置于窗口顶部
Alt+上箭头         上一个文件标签(B)        上一个文件标签
Alt+添加          活动行置于窗口底部         活动行置于窗口底部
Alt+向下箭头        下一个文件标签(E)        下一个文件标签
Alt+右箭头         光标置于下一段落的开始       光标置于下一段落的开始
Alt+左边箭头        光标置于上一段落的开始处      光标置于上一段落的开始处
Ctrl+,          做出选择              转换突出显示，以选择
Ctrl+.          高亮显示所有激活项         高亮显示所有激活项
Ctrl+/          添加注释(N)           外部注释
Ctrl+;          选择下一个结果           选择下一个结果
Ctrl+\          “删除行首空格”          删除行首空格
Ctrl+0          Windows 剪贴板(W)    激活 Windows 剪贴板
Ctrl+4          用户剪贴板 4           激活用户剪贴板 4
Ctrl+5          用户剪贴板 5           激活用户剪贴板 5
Ctrl+6          用户剪贴板 6           设置用户剪贴板 6 活动
Ctrl+7          用户剪贴板 7           设置用户剪贴板 7 活动
