Files added: 0

Files removed: 0

File pairs compared: 152
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/pll_reset.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/pll_reset.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/grey_statistics/grey_statistics.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/grey_statistics/grey_statistics.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mig_core.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mig_core.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/io_channel/trigger_active.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/io_channel/trigger_active.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3v_format/adder/u3v_adder_47.xise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3v_format/adder/u3v_adder_47.xise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.xco | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/sync_buffer_fifo_bram_w97d32.xco ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.cgp | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/u3_interface/u3_transfer/urb_mult/urb_mult.cgp ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/stream_ctrl.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/stream_ctrl.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/ctrl_channel/spi_slave.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/ctrl_channel/spi_slave.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_fix/change_fifo/change_fifo.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_fix/change_fifo/change_fifo.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/sync_buffer/fifo_bram/coregen.cgp | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/sync_buffer/fifo_bram/coregen.cgp ; Verilog-SystemVerilog
  != F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/io_channel/strobe_extend.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/io_channel/strobe_extend.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/fifo_w65d256_pf180_pe6/fifo_w65d256_pf180_pe6.xise | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/fifo_w65d256_pf180_pe6/fifo_w65d256_pf180_pe6.xise ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_soft_calibration_top.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/frame_buffer/mig_core/ip/mig_core/user_design/rtl/mcb_controller/mcb_soft_calibration_top.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/grey_statistics/grey_aoi_sel.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/grey_statistics/grey_aoi_sel.v ; Verilog-SystemVerilog
  == F:\DAHENG\hw_mer\trunk\fpga_prj\mer-502-79u3x\src/data_channel/raw_wb/wb_aoi_sel.v | F:\DAHENG\hw_mer\trunk\fpga_prj\mer-503-36u3x\src/data_channel/raw_wb/wb_aoi_sel.v ; Verilog-SystemVerilog
